,director_name,id
1334,Kevin Smith,19303.0
1335,Christian Ditter,63820.0
1336,Charles Martin Smith,1270.0
1341,Fyodor Bondarchuk,80999.0
1343,Irvin Kershner,10930.0
1344,Steve Pink,3227.0
1350,Scott Hicks,33433.0
1354,Kirk De Micco,71267.0
1355,Chris Rock,2632.0
1357,Wilson Yip,63571.0
1367,Robert Wise,1744.0
1372,Kevin Rodney Sullivan,70777.0
1382,Kevin Munroe,19499.0
1383,Mike Tollin,53178.0
1390,Patrick Tatopoulos,3964.0
1393,Gary David Goldberg,70738.0
1396,Tobe Hooper,10051.0
1400,Alan Poul,113225.0
1401,Luke Greenfield,65734.0
1402,Gil Junger,40243.0
1403,Michael Ritchie,12964.0
1404,Steven E. de Souza,1726.0
1410,Alexandre Aja,59291.0
1411,Michael Rymer,28741.0
1414,Hugh Wilson,28904.0
1415,Mike Hodges,17281.0
1419,Scott Mann,90812.0
1420,Susanna White,113600.0
1422,Chris Carter,12524.0
1423,Tommy O'Haver,62514.0
1424,Peter Landesman,1192754.0
1426,Gary Chapman,80691.0
1428,Craig Mazin,35796.0
1429,Allen Hughes,11448.0
1437,Kimble Rendall,64163.0
1438,Peter Yates,12804.0
1442,Lasse Hallström,5306.0
1444,Jean-Marc Vallée,69371.0
1447,Tsui Hark,26760.0
1450,Lexi Alexander,56359.0
1453,Ronny Yu,17268.0
1457,Bille August,19684.0
1459,Moustapha Akkad,66203.0
1460,Jean-Paul Rappeneau,25950.0
1463,Joachim Rønning,20307.0
1464,Tony Kaye,814.0
1466,Ken Scott,1375201.0
1469,Hugh Johnson,22100.0
1471,Hayao Miyazaki,608.0
1472,"George Tillman, Jr.",66121.0
1473,Rand Ravich,29524.0
1474,Hugh Hudson,58220.0
1481,Ben Stassen,76100.0
1482,Chris Gorak,10855.0
1483,Scott Speer,932088.0
1485,Joe Charbanic,66604.0
1486,Jonathan Hensleigh,876.0
1487,Danny Cannon,33279.0
1488,Boaz Yakin,52358.0
1490,Richard Marquand,19800.0
1491,Neil Marshall,57581.0
1493,David Wain,22214.0
1498,Jared Hess,53925.0
